text,rating,label
"These chews help my dog relax during stressful situations. He likes the taste, and they don't make him drowsy. Effects don't last as long as I'd like.",4,CG
I don't know how so many lumens can be produced by a light using 1 AAA battery.  Quality could not be better.  A little pricey.,5,OR
Excellent performance with great battery life. Very reliable.,5,OR
I bought this to replace my 30 year old single speed Dremel.  WOW!  Shouldn't have waited so long.  All the attachments really make DIY home improvement so much easier.  So much fun to use that after I'd had it for a while I found myself looking for ways to use some of the attachments I hadn't yet needed.  The only thing that's not so great is it seems to be in a box meant for more than one model - so there are molded places to put things that aren't included.  That takes up space in the box that could be better used to store what DOES come inside & would make it easier to put stuff away.,5,OR
"Macy is bored of all the pitiful looks she receives due to her fathers death a year earlier. She and her mother have been getting along fine, just fine, on their own. Her mother constantly works, and Macy helps her by sticking to their routine and keeping a perfectly clean house. Shes content with her perfect boyfriend and perfect grades and perfect life. That is, until a hectic catering company enlists her help at one of her mothers work parties. She then realizes how exciting chaos can be and how interesting real friends are. I read this book for my Read-a-Thon at school and I finished it in the day. It contains some serious issues, but overall its an airy read. The issues aren't heart-wrenching nor are they abnormal, so the book is easy to relate to. I could complain about its predictability or sappiness, but The Truth about Forever is defintely a book about the journey. It doesnt matter that the reader knows within the first chapter that Macy will fall for the gorgeous catering guy, Wes. Or that the book will have pages about finding yourself, realizing happiness, and moving on. I knew coming into the novel this wasn't a heavy book, which is why I enjoyed it. Its entertaining, and thats why I like Dessens books. Always, she writes books that serve to entertain and relate to teens. I flipped happily through the pages, never bored, but never thrilled either. The characters are fun and normal and don't have anything special about them. Her books are so realistic. The world isn't going to end and the characters don't have anything life altering happen to them. She somehow writes about ordinary days but still engages the reader wholeheartedly. The Truth about Forever is a cute romance between two teens trying to find themselves. The plot isn't extraordinary, but the writing style and characters really make the book. Compared to the other Dessen books Ive read, this one isn't as good, but I still found myself entertained while reading it. More book reviews at Stealingpages.",3,CG
I went for a run and felt like a flat-chested woman! It was an amazing feeling!,5,OR
These look to be very nice. The only problem is that they are not very comfortable.,4,OR
The aquarium kit looks great and is easy to set up. The LED lighting is nice. The filter is a bit noisy.,4,OR
"This radio is simply the best. The quality is amazing.  If you are looking for a cheaper pair of earbuds, this is the one to get.Great case for the price.  It is a good value for the money.I bought this to replace a broken one I bought for my TV. I did not want to have to replace it since the TV was so cheap. It works fine and seems to last for quite a while. It's very easy to use and holds the TV securely. The only con I've noticed is that it has a small gap where it attaches to the wall. I haven't seen it in action yet. I would recommend it to anyone.I have been using this to replace an older Dell laptop with a Dell D700.  I was able to find some great reviews on Amazon for the Dell product.  I received this product on a very good basis",5,OR
"works well with the shakespear cable. The only problem is that it comes with a small screwdriver.I bought this for a friend, and he is very happy with the",5,OR
"Extremely pleased with the wallet. The leather is soft yet durable, and the stitching is top-notch. Plenty of space for cards and cash without being bulky. Highly recommend for anyone in need of a quality wallet.",5,OR
"My family, including the young ones, love the wooden trains.  We also have the Thomas trains.  The trains are a",5,OR
"they are too dim for my purpose, but they are good enough. Nice little light.",2,OR
"Pleasantly suprised. Caught quite a few flies and was very comfortable.  The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very",5,OR
"This dress is so cute and can be worn dressy or casual (depending on shoes).  The price is right and the fit is perfect.  If needed, I will purchase again.",5,OR
"A professional boxer was hired to do the job, and was given a lot of the credit he deserved.  The film is very well done and is well-acted.  The performances are excellent, and the story line is quite strong.  If you like action movies, you will like this one.A very good movie. I would recommend it to anyone who likes action movies.We love this movie.  I love the movies and they are great!  I would recommend this to anyone who likes action movies.I thought this was",4,OR
"The concept of the playpen for the pet is nice, yet the workmanship leave much to be desired! I purchased this for a new puppy and immediately thought it was a unique, easy to manipulate product. This was short lived with each time I removed and replaced a stake in the attaching wall units. I first found my puppy chewing on the top cap that this company merely attaches by hand with no adhesive to ensure safety issues such as this. I wasn't happy to find an item my dog could have choked on in her ""safety"" area; I simply reattached it using crazy glue. The next morning I found an new one on the ground in his dog bed that he had thankfully hadn't found. Needless to say, this ""Exercise Playpen"" is now in the garbage. WARNING -this is not a safe product for any animal!!!",3,CG
"This review is for Prince Harry: I loved your book, it made me cry, it made me laugh, but mostly made me very sad. You've been trying so hard for so long to find the TRUTH, but looking in all the wrong places. I can say this Harry because I'm a nobody, average American living in Florida, nearly twice your age and with years of ""Inner Healing"" experience: Harry, you need a SOZO. You are dealing with unresolved trauma that may have even begun in vitro. And Harry, you can be healed once and for all, set free to live your life as God intended. This is not counseling, this is inner healing ministry and you are living in the perfect place, where Bethel Sozo began (see ""bethelsozo.com"") in 1997. Interesting coincidence? The word SOZO is Greek and is used 110 times in the New Testament and it means to ""MAKE WHOLE"", also to save, deliver, heal and preserve. Unresolved Trauma creates walls, divisions and segmentation in your life, that is why parts of your memory just disappear. SOZO uncovers these traumas and other injuries caused by the lies we have believed and replaces them with the TRUTH. There is only one source of truth and only He can set you free and make you ""Complete"". Your Grandmother had a very special relationship with our Creator and her Reign reflects those blessings poured out on the House of Windsor and all of Britain because of that relationship. Was she perfect? no. Did she make mistakes? of course, she was human. But I believe God has spoken and put His arms around Queen Elizabeth ll and said ""job well done, My good and faithful servant"". Her Monarchy is over, but Harry you've just begun and have much to do to fulfill your destiny. I pray that Father God would guide your heart in it's search for Truth, that you may be ""Made Whole"" and available to continue your service to Him. Harry, be so blessed!",5,OR
"My dog loves these dental treats. They help keep his teeth clean and his breath fresh. They are a bit pricey, but worth it for the health benefits.",5,OR
It is great that it has an easy to use instructions.  I also like the fact that the bottom is adjustable.  I am using it for the instruction booklet,5,OR
Absolutely loved this story. Enjoyed reading it and hoping there will be a book 2. I am looking forward to reading,5,OR
My husband is a Glen Ford fan and he enjoyed this film. I am sure that we will watch it over and over again.,4,OR
"Works for adding a 3rd party transmitter, as well as a 4th party transmitter.  ",5,OR
Kind of expensive for really just two issues plus a widely used reprint of X-men #268. The entire Grand Design arc by Ed Piskor doesn't add anything new nor does it move any X-men stories forward. No additional character development and no retcon of anything. It is literally a summary of X-men history from after the Dark Phoenix Saga to the end of the X-Tinction Agenda. Don't waste your money on this. Buy the cheapest available copy or borrow it from the library.,3,CG
love the vest over the onesie. Such a cute outfit.,5,OR
I purchased this for my son to wear as a helmet for a backpacking trip. He has been wearing it for the past two months. He is very happy with the purchase.I have used this product in the past and I am very pleased. I have used it on several other products and it is,5,OR
"It is Excellent, I received on time and the quality is great work as Its required and I will give 5 stars, its just Wonderful, better impossible, I was checking many different and similar of this one and I couldn't find someone like this.",5,OR
"Ordered these for my daughter and she loves them!Very good quality.Nice bag.Very pretty.I bought this for my son, and he is very happy with the purchase.  The color is beautiful and the material is very thin",3,CG
Exciting and fun. The corkscrew design adds a lot of excitement. Takes up a lot of space and some parts are flimsy.,4,CG
"This is an excellent documentary about Allen's entire career.  There are many, many film clips and they are all choice highlights from his films.  Interspersed with these clips are interview segments with Allen present day and during earlier days.  There are also clips of mini interviews with the people with whom he has worked, including Tony Roberts, Diane Keaton, Scarlett Johannsen, John Cusack, Owen Wilson, Mariel Hemingway, Gordon Willis, Marshall Brickmann, Martin Scorsese, his sister Letty Aronson, now his producer, Dick Cavett and so forth.  Although Mia Farrow is covered, she does not participate in any way since they have never resumed contact in any way. She was, of course, Allen's other major leading lady but he ended up having an affair and marrying her adopted daughter years ago.  Even though I have seen every single one of his movies, I really liked the choice of film clips presented here.  It was very enjoyable to see them and to learn some of the tidbits about what else was going on while making them.  Everyone contributed some major insight about the film clip which was unknown to us before.  I also enjoyed the way he present day took us to his old school or walked down the street with his sister and they talked to present New Yorkers.  There was even old footage shown of his parents who finally died near the century mark.  Although the focus was on the work, there was enough of a human dimension presented here to make this a very important summing up of a creative life while the creator is still around to share it.  If you love his work, you need this film in your collection.  Visit my blog with link given on my profile page here or use this phonetically given URL (livingasseniors dot blogspot dot com). Friday's entry will always be weekend entertainment recs from my 5 star Amazon reviews in film, tv, books and music. These are very heavy on buried treasures and hidden gems. My blogspot is published on Monday, Wednesday & Friday.",5,CG
"This disposer has been a good one.  The only problems I have had was a wobble once..ran some ice through it and it took care of it.  Then a came a little loose once,  this could have been my fault, not sure.  The thing I like is that it is very quiet compared to our last one and that it has a 6 year in home warranty.  We have had ours for about 3 1/2 years.  Pretty good disposer.  Have a nice day! Still going strong after 5 years of daily use.  They may be a little more expensive than some, but they are well worth it.  This s a great, solid brand.",5,OR
"Sweater is incredibly soft and feels luxurious against the skin. However, it started pilling after just a couple of wears, which affects its overall look. Love the comfort but disappointed with the quality.",3,CG
"I waited a long time, five years, for this installment of the Seeking Redemption. Maddie and Wyn were always in the periphery of the stories and this, their own book was fantastic. The author builds up our suspense about what tore them apart and them weaves a great reconciliation.",5,OR
"Beauty and isolation of a remote island are captured in this narrative. The mystery unfolds at a steady pace, keeping you hooked till the end.",4,OR
Not happy with this product at all!!,2,CG
Can/bottle opener with magnetic backing,5,OR
"My system runs the latest Intel processor and the AMD processor is a 64 bit machine. I'm using a 6th gen Intel CPU, and the video card is running Windows 7. This is a bit of",4,OR
Kids enjoy the game but the pieces are small and easy to lose. The concept is fun but can be frustrating for younger children.,3,OR
"Accurate and responsive with good pressure sensitivity. It pairs well with Surface devices and enhances the overall experience. However, the battery life could be better, and it's quite pricey. Still, a solid choice for Surface users.",4,OR
We love white mountain puzzles....and this is the only one that I can find that makes the whole,4,OR
"Wool coat is of great quality and very warm. Perfect for winter months. The fit is excellent, and the material feels luxurious. Received many compliments while wearing it. Highly satisfied with this purchase.",5,OR
The variety of tools and molds is nice but the dough quality is poor. Dries out quickly and the tub is too small to hold everything. Not worth the money.,2,OR
Very effective at preventing fleas and ticks. Easy to use and lasts for several months. The price is high but worth it for peace of mind.,4,OR
"I have a smaller version of this lamp and it is just right for small jobs. So I thought I would get a higher output lamp for a larger work area. Holy Moly this lamp puts out. It lights up my whole shop and it is a large shop. You better be carful for this thing gets very, very hot. It does what I bought it for.",4,OR
So soft. I do love that it's wide enough to fit a lot of my small stuff. Great quality and fit. The front part is a bit narrow but not too wide.,5,OR
"my grandson loves this.............  he plays with it often. gave it to him at 12 months, still playing with it at 18 months. nice little farm animal set, highly recommend it",5,OR
"I have failed to install the first one without bubbles and luckily, I have a second one which I succeeded to install without bubbles. The adhesion is very nice and easier to install compare to other screen protector I used on my other devices.",5,OR
Good movie,4,OR
"Watched this on Amazon streaming and enjoyed watching it. Not a movie that I would buy (I usually only buy movies I ""love""), but it was worth the rental fee. It had an Interesting story, I would recommend watching it.",4,CG
Great price.  Works great.  Easy to install and works great.  Thank you!Very nice.I bought this to replace the old one that broke the plastic housing on a 4' concrete,5,OR
Can't beat this time tested design.  Easy installation... highly functional ...priced right.,5,OR
I use this on two dogs and a cat. It’s great for initial brushing for tangles. Then I use a smaller brush.,4,OR
"I thoroughly enjoyed ""Double Fudge"". . . This book once again focuses on the book's main character Farley Drexel Hatcher (B.K.A. ""Fudge""). He is absolutely hilarious in this book. His obsession with money, his twin cousins and their little brother nicknamed ""Mini"", along with their parents are another interesting twist in this story. Peter Hatcher, Fudge's  older brother, who is now an official ""junior high school student"",  typically experiences all of the anxiety that is associated with  early adolesence. This book made me laugh and laugh, especially the reaction of Mr. Hatcher when he discovers that their his cousins  want to stay at their house longer than a week. I was also able to put myself in  many of the situations and generally grasp a feel each of the characters. The first book that I ever read in the Fudge series was ""Tales of a Fourth Grade Nothing"" followed by ""Superfudge"". I can remember attending Jefferson Elementary School in Little Rock, Arkansas waiting in line for what seemed like an infinity, to have first bid on checking out that book. I became a ""reader beaver"" thanks to Judy Blume and the wonderful staff at Jefferson Elementary who encouraged all students to build their foundation through reading. I used to walk swifly through the library with the rest of my classmates running straight towards the ""B"" fiction section --shouting, ""Ready or not here I come."" This is an excellent read, and it is authors like Judy Blume who grasp the interest of young readers by  making her work interesting and identifiable to young readers. Thank you Ms. Judy Blume for providing great reading material for children of all ages!",5,OR
"<div id=""video-block-R3MACS6WP225SQ"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon.",2,CG
I have a few of these on the market and they are all pretty good. I have one in my bathroom and the other in my office. The light is a nice white light and the color is a little warmer than the fluorescent ones. I wish it had a dimmer switch. I love it. I have a few of them in the house and they are all pretty good. They are just a little brighter than fluorescent ones and the light is more like a halogen. I have two of them now and I have about half a dozen of them in my office. I have a couple of other lights in my,2,CG
"I have (2) older dogs, and they love the taste. I will keep this for the next couple of months. Great product! I will definitely order again!I bought this for my puppy's tank.  It is a good size for her size.  I use it for her water bowl and a 2 gallon aquarium.  I also use it for the heater.  It has a very nice height for my puppy.  I am very happy with this purchase.This is a great product for dogs that need to be chewed up, but they can't chew it up!  This is a great product for dogs that need to be chewed up.  We have a rescue dog that is on this",5,OR
A little narrow around waist,4,OR
Great lighting and plenty of workspace. Perfect for detailed projects.,5,OR
"Love, love, love this.  Keeps our dogs safe while travelling.",5,OR
Overall this trainer is very decent for its price. Good: * Sturdy. * Very stable after properly leveling the stand. * The 6-level resistance combined with the drivetrain on my bike gives me virtually any resistance level I want. Bad: * The paint comes off easily when in contact with lubricant / alcohol. * It gets really loud (clicking noise) past a certain RPM threshold. This can be remedied with setting the resistance to maximum and use the bike's gears to adjust the resistance.,4,OR
"The MacBook Pro is simply outstanding. Its performance is unmatched, whether you're editing videos, coding, or running multiple applications. The Retina display is gorgeous, with vivid colors and sharp text. Battery life is phenomenal, often lasting over a day on a single charge. The build quality is exceptional, and the keyboard is a pleasure to type on. Despite the high price, it's worth every penny for the productivity and reliability it offers.",5,OR
Works well and is reliable but a bit on the heavy side. Can get tiring to use.,4,OR
This is one of the nicest ties I own. That sliver one looks amazing! I paired it with dress blue dress shirt and it looked outstanding. It's in between a skinny tie and regular tie. It's also pretty long. You way want to use the Windsor Knot when you tie this tie.,5,OR
"Holds bikes securely and swings out for easy access to the trunk. Installation is straightforward, and the build quality is excellent. A bit pricey, but worth it for the convenience and durability.",5,OR
"Want to know the bane of an electric car?  I will say that it's a pretty good electric car.  The motor is solid and takes the guesswork out of how much power it needs.  It does a good job of pulling the fuel out of the car and does a great job of avoiding the nasty gas smells that can occur in the car.  It also has a nice height knob that adjusts the height of the car.  I like that the car has a motor that is adjustable from about 1,000 to about 1,000 watts.  That is a big plus.  I am happy with the car because it has a nice weight to it.  The only downside I have is that I don't like the ""gift"" feature.  I wanted something that would be easier to use and I thought the gift feature was a good feature.  I gave it to my friend and she loved it.  It is very cute and I really like that it has a drawstring that can be used to hang it on the wall.  I would recommend this to anyone looking for a very strong, compact",5,OR
MY GRANDDAUGHTER LOVES THIS.  We have had the wooden trains for a,5,OR
"I viewed OUR TOWN and saw NO TERROR, no TERROR.  The only one who is so stupid is the guy who is the smartest person in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man in the world.  The only one who is so stupid is the guy who is the smartest man",3,CG
"Fit as expected - I bought it in a much larger size because I wanted comfortable shorts to wear at home. I can fold the top to adjust the length and size, and there is also a draw string that works very well. Comfortable fabric. Overall, they are exactly as pictured. Also very flattering.",5,OR
"This is a portable charger, not a back up battery. The LED is Red when uncharged and turns Blue when it has a charge. The included retractable cord is extremely thin. Should come in handy during a power failure. It's more of a novelty item than a work horse so it's pricey. Most likely due to licensing fees. Still it's a great gift for the football fan in your life. Available  for many teams.",3,OR
"Packed with features that make playtime exciting. The extendable ladder and sound effects are great. It's large, so storage can be an issue.",4,OR
Lots of twists and turns that will make you feel like you are on the edge of your seat.  I had a lot of fun with,4,OR
Caught off guard. Roc had to surrender.  By giving up two ships with crew to the pirates.  He was able to keep Honor and limp away.  This made him more determined to rise up. Roc put together a couple quick wins which helped him better prepare to face his immediate adversary.  Then go after a bigger prise.,5,OR
Encourages imaginative play. The light and sound effects make it realistic. The set includes a good variety of accessories. The oven door can be fragile.,4,OR
Identical OEM replacement for my HP Envy 15 laptop. Works perfect.,5,OR
I enjoyed this book so much. The characters were well developed and the story flowed well.,4,OR
These are very bright bulbs with a soft light for the bathroom.  I am starting to replace all my bulbs in the house with LED bulbs since they are supposed to last a very long time.  I will probably not need to use all six bulbs in my light bar in the bathroom because they are so bright.,5,OR
"Great quality, educational, colorful.  My 2 year old loves it and can't wait to get in the sandbox.  Made in Germany.",5,OR
"Provides excellent cleaning performance with smart navigation. The app connectivity adds convenience, though it occasionally misses small spots. Overall, it's a reliable and time-saving vacuum.",4,OR
Light weight and flimsy material.,1,OR
"My favorite out of the 1, 2 and 4 led lights.  These things are great.  Battery life is unexpectedly great.  It has lasted on its first batteries (3D's i believe) for over 5 months of moderate use",5,OR
I bought this cable to use with my cell phone. I did not need a cable to use with my phone.  The cable works great and is easy to use.  I would definitely recommend this product to anyone.  I would recommend it for anyone with cell phones.Great for the price.  I have a portable player and I can use it on my laptop.  I will say I have had no problems with the sound on my sound bar.  I have not had any problems with the bass on the speakers.  I use the same system,5,OR
"For me, it was a nostalgic trip back to the early days of Technicolor, big stars and big music.",5,OR
"Combines thrilling action with emotional depth, featuring breathtaking visuals and an engaging storyline.",4,OR
"It is incredibly annoying to get it to turn on, and sometimes it just won't. I frequently have to unplug and plug back in every chord related to the device in hopes it will start working. It is EXTREMELY inconsistent. Plus it needs to be calibrated every single time I turn on the computer. It works great when it works, but the user experience is so frustrating that I couldn't recommend it. IMPORTANT: the HDMI chord also takes up the two other display ports to the sides of it, so it doesn't really work with a 3 monitor set up either (I used a knife to shave one of my display port heads, which BARELY managed to fit next to their ultra-wide headed HDMI). I also wish the screen was a little more matte for a better drawing texture, but I still prefer it over other matte screens like the Wacom 24 4k as it doesn't have that grainy prismatic color effect like those due to the screen's rough physical texture.",2,CG
Summer dress exceeded expectations in terms of both beauty and quality. The fabric is soft and the print vibrant. Fits perfectly and is very comfortable for warm days. Definitely a favorite in the summer wardrobe.,5,OR
"I was alit bit worried when i bought the book because their was so many bad reviews on here... but i have to say that iliked it.  I hate that everyone is trying compare it to Twilight.  I am one of the few people i know that didn't like twilight but loves vampire books.  Yes. there is a twist.  yes. i figured it out before they actually came out and told us, but i like the way that it was done. i think it makes the book different.  It is a fast read. nothing really deep about it but its a fun 'coming of age' vampire story",4,OR
"My grandson loved this, I gave it to him for Christmas. He had a ball with it.",5,OR
"My husband loves to play his video games, unfortunately the couch is to far from the tv for him to play and was wanting some type of bean bag to use while playing. The chill bag bean bag is perfect!! Unlike normal bean bags this one is filled with little pieces of memory foam. The memory foam makes it extra comfy. It's 4 ft size and it easily fits my husband and my 4 year old. It comes in a medium size box and I wasn't expecting it to be in such a small box considering its size, the memory foam is condensed into a ball with plastic wrap around it, and the cover is seperate. Me and my two kids followed the instructions and carefully unwrapped the memory foam, once we got it out of the plastic wrap, I had the kids jump on it to loosen the memory foam and it quickly expanded. This bean bag is very sturdy and actually kinda heavy. You sink right into it and since it has memory foam instead of the tiny foam balls you can conform it to how your sitting. We love this ""bean bag"" !! When my husband isn't playing his video games and using it my kids are, it's a big hit at our house.  I received this product at a discount in exchange for my honest review.",5,CG
"It wasn't the greatest toy, but it was a good value for the money.",3,OR
