title,text,rating,timestamp,item_title,category,label,images
excellent for children ages 8 - 12.,"Beautiful field guide with pages to record what birds were seen, where and when etc.  Well made.",5,14/08/2022 17:31,My Awesome Field Guide to North American Birds: Find and Identify Your Feathered Friends (My Awesome Field Guide for Kids),Books,OR,
"Sad, emotional coming of age","The Orchard is a memorable coming of age story about four teens in the 1980’s in the Soviet Union.  Anya and Milka are best friends, and Lopatin and Triffoli are the boys that join their group as love interests and confidants.  Together they navigate growing up until tragedy strikes.  Many years later, after leaving to pursue an education in America, Anya returns and reunites with Lopatin, realizing that even as some things change, many remain the same. I found this book entertaining and interesting, but extremely sad.  Feelings of compassion, fear and grief flowed from me as I read Anya’s story.  This is not the novel to read if you are looking for a happily ever after, but it will make you feel.",4,02/05/2022 00:48,The Orchard: A Novel,Books,OR,
Fun,This was a fun read. Quick and easy and a good way to spend the afternoon.,4,06/06/2022 04:26,Love Lives On: Short Stories of Love and Romance,Books,OR,
Intriguing Mystical,It's creamy textured paper allows the pen to flow effortlessly across the lightly lined pages. I really enjoy journaling my dreams & intuitions within its pages.,5,25/06/2022 00:15,"Heart of the Tree Journal (Diary, Notebook)",Books,OR,
Lovely Book!,This is a lovely book full of well explained instructions and fun ideas!!,5,21/09/2022 19:41,"Charming Dolls: Make Cloth Dolls with Personality Plus; Easy Visual Guide to Painting, Stitching, Embellishing & More",Books,OR,
As described,As described,5,21/11/2022 23:43,Neptune's Inferno by James D. Hornfischer (2012),Books,OR,
The only reason I gave I two stars because is too technical.,Too Technical for an amateur. I ordered the I Mac for seniors from Amazon. and have not asked amazon if I could return the I Mac for Dummies,2,13/09/2022 20:50,iMac For Dummies (For Dummies (Computer/Tech)),Books,OR,
"Quarters do not fit tightly, fall out",I'm not sure why they would make the slots bigger than quarter sizes so they fall out.  As soon as you try to close the book they fall out. Not cool.,1,08/03/2023 13:08,Quarters Collector's Maps Value Pack (Set of 2),Books,OR,
Great,"Great primer, I've enjoyed reading it so far. As advertised. Handy and practical, hits all the key areas.",5,25/10/2022 03:21,Welcome to Paradise: Moving to Hawai'i Made Easy (Sort-of),Books,OR,
Great book for F1 fans,"Another great book about Formula 1. Just wish Amazon would stop putting their tagging stickers on the cover jacket haphazardly. Books like this have the potential to be collectors items, so you please stop slapping stickers on them?",4,17/08/2022 02:19,"Formula One: The Pinnacle: The pivotal events that made F1 the greatest motorsport series (Volume 3) (Formula One, 3)",Books,OR,
humorous,"We enjoy reading off each month's quips. Mr. Olenick is just a funny guy, and we like his type of humor. This is our third year seeking out his calendar and we utilize the large squares to write in.",5,10/01/2023 16:18,"The Art of David Olenick 2023 Wall Calendar: I'm grate, and you?",Books,OR,
Just a basic book,The best part is the illustrations and pictures. The story is just ok.,1,04/03/2023 13:22,Ava's Adventure in La La Land,Books,OR,
WELL MADE!!,Just what I was looking for my retirement party. Pages are thick and plenty of room for writing. GET  THIS !,5,29/07/2022 03:11,"Retirement book to sign (Hardcover): Happy Retirement Guest Book, thank you book to sign, leaving work book to sign, Guestbook for retirement, message ... book, keepsake, retirement book to sign",Books,OR,
I never thought sleep was that interesting!,You can read this book in whatever order you want. I devoured it and thought it was very interesting. Anything you ever wanted to know and how it can affect everything else in your life is in this book. Everyone should read this!,5,08/09/2022 15:19,Why We Sleep: Unlocking the Power of Sleep and Dreams,Books,OR,
Awesome,Awesome,5,16/08/2022 02:01,"Tower of Dawn (Throne of Glass, 6)",Books,OR,
Caution:  This book may lead to insomnia and lack of productivity.,I didn't get much sleep once I started this....I couldn't stop reading until I knew what happened.  Great story and character development.  I became invested in the outcome from the first page.  This is one of those books that turns into a movie in my mind as I read. One of my top reads of 2022. Minor spoiler...the dog is fine. :),5,31/12/2022 18:03,The Exorcist's House,Books,OR,
Love it!,Love it! I purchased this for some family members and we love them! We use them daily,5,02/09/2022 13:42,"Black Girl Magic Writing Journal For African American Women 200 Page Lined Notebook: Melanin Boss Lady Writing Journal For Adults, Teens & Kids",Books,OR,
Beautiful gardening book,This book is both helpful and lovely. I learned a lot about medicinal plants from the text but it is pretty enough to sit out on my coffee table!,4,10/10/2022 03:59,"Tea Gardening for Beginners: Learn to Grow, Blend, and Brew Your Own Tea At Home",Books,OR,
Another Adorable Netherton Book,Pinky the Mouse is another cute book that the kids love. The author writes really cute stories and we love the characters. Love the Netherton books!,5,15/01/2023 06:22,The Little Netherton Books: Pinky the Mouse: Coloring Book,Books,OR,
Detailed Coloring Book,"I like to color as a way to reduce stress and take my mind off things, and this book is great! The some of the outlines are pretty detailed so if you like simpler designs it may not be for you, but I enjoy making them super colorful. Cool book.",5,03/01/2023 23:51,"Mushroom Coloring Book: Stress Relief Coloring Book for Adults Mushrooms, Fungi and Mycology",Books,OR,
some were way too easy,"some were subjective to answer.  overall, we spent 4 hours reading them and trying to answer them out loud. Then, my parents came over and we spent another 2 hours .  Good buy and my preteen loved it",4,21/01/2023 19:07,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Thinking Books for Kids),Books,OR,
where is cps?,"What Maisie knew is that her world is full of selfish adults (whom, as a teacher I would have called CPS on). Characters were confusing to me, not sure how Maisie kept them straight as they fought over her company. Her parents are a joke and the others who want to keep her are scary bad influences.",2,26/07/2022 13:28,What Maisie Knew,Books,OR,
No traditional music notation at all in the book,"If you wanted to learn how to play the guitar and be able to pick up any sheet music and play it, this is not the book for you. Look closely at the picture, these are not music notes. they are different numbers and a special system called tab, which is not traditional music. There's no actual traditional music notation in the book at all. You're not going to learn to read music, you are going to learn something called tab. They have some special thing called tab which requires you figuring out all the little numbers on the different lines and trying to marry that to the guitar and chords instead of just using regular music notes. It's a bizarre strange thing. I don't understand the point, because unless you've got the special little tab notation system for every piece of music on the planet, you're going to be limited until you turn around and learn how to read music. I assume after some time you'll be able to automatically figure out all the little lines - how they correspond, but it just seems adding an unnecessarily complicated step instead of just showing the music notes and teaching people how to actually really read music. The book itself is a typical 11x17 folded in half and saddle stitched, decent quality paper. The contents just are not a match for me. There's really nothing in this book, other than it showing the finger positions for different chords, that I'm finding useful. I'll keep looking for another beginner book that teaches basic guitar with real music notation. I should have looked at the photos closer. I just assumed they would have the real music in here along with this tab thing they're using. At least it didn't cost a lot.",3,12/01/2023 20:59,Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,Books,OR,https://m.media-amazon.com/images/I/61JHGeYZyhL._SL1600_.jpg
$99.99????,Why does this book cost $99.99? No paperback book should cost that much.,1,02/04/2022 14:34,Miss Kobayashi's Dragon Maid Vol. 5,Books,OR,
Disappointing,Slow and repetitive on the cop side.  The other side is mostly pornography. Not a fan of this book.,2,01/01/2023 18:58,The Hunt: A Decker/Lazarus Novel (Peter Decker and Rina Lazarus Book 27),Books,OR,
Another terrifying tale,Wow horrible ending. What an experience to spend time similar to groundhog day. The virus was the most powerful killer and the magic influence as well as the circumstances leading Jack on this particular voyage are incredible,5,24/04/2022 05:41,Sea Sick: A Zombie Horror Novel (Ravaged World Trilogy),Books,OR,
An awesome series,"This is #9 in the Widow's Island series, written by Kendra Elliot and Melissa Leigh.  Each book can be read as a stand alone, they may feature familiar characters but the stories are unique to each book.  Both authors are very skilled mystery writers who keep readers engrossed in the story from the start.  One of the best things about dual authors is you do not have to wait so long between books. Full of suspense, lots of clues(that I usually miss), and great character developement made this a one sitting book for me.  Kendra Elliot has an extensive back library and I have read the majority of them.  They are all excellent reads.",5,25/10/2022 17:02,Bone Deep (Widow's Island Novella Book 9),Books,OR,
Great book with amazing oix,What a fabulous book.  Helps you with stretching and gives ideas on all the stretches so you can tailor them to what your body needs.  We love this book,5,14/01/2023 23:53,Ultimate Guide to Stretching,Books,OR,
great short story collection,I enjoyed all the stories and the theme of afterlife and being stuck limbo and ghosts/spirits. I really wish a few of these stories were full length books. Especially the last story which was the best imo. I wouldn’t say this book is scary. But books and movies rarely scare me. I’d sat chilling and creepy.  Intriguing enough to keep a reader interested,4,13/12/2022 10:24,At Home With the Horrors: 14 Chilling Tales,Books,OR,
Extensive,"Very helpful, lots of variety",5,21/06/2022 01:08,Learn Spanish For Adult Beginners: 3 Books in 1: Speak Spanish In 30 Days!,Books,OR,
Great Deal. Good Product.,Great Deal. Good Product.,5,25/08/2022 12:49,"Troubled Blood: A Cormoran Strike Novel, Book 5",Books,OR,
Best WFPB Breakfast Cookbook Ever!,The author of this cookbook has elevated tastes!  There are so many favorites it’s hard to choose one.  If you are looking for Plant based recipes you’ll make and love over and over again buy this book today!,5,30/07/2022 20:50,Plant Based Breakfast Favorites,Books,OR,
a quick shorter version of the movie,"Space Jam: A New Legacy by Ivan Cohen If you're reading this book, you probably already saw the movie. It doesn't matter if you read the book first then watch the movie or vice versa. The Comic was good except for they changed the ending. I feel it should of have the same ending as the movie because it was an emotional moment. The book lost that moment when it removed it. Al G. Rhythm is The Warner Bros Algorithm, and he is stuck in the Serververse and no one even knows he exist. To change his unknown fate, he uses law 13 in the 48 laws of power by appealing to LeBron's James Self-Interest. This quickly fails as Lebron thinks joining Warner is a dumb idea and Al G. Rhythm gets angry and traps Lebron and his son Dom into the digital world and challenges him to a basketball game. Al G. Rhythm uses law 44 in the 48 laws of power to make believe he shares Dom beliefs and values to get him to be on his side of the team. Lebron James and his team with bugs bunny and the Tune Squad are struggling to score points and are losing miserably. It's not until the tune squad makes Lebron James realize law 41 in the 48 laws of power: No one can step into your shoes and be like you. Everyone must shine in their own way. Lola Bunny tells Lebron, ""You've been trying to get these guys to play like you, but no one can do that. It's time to let the Tune Squad do what they're good at."" Lebron responds with, ""I guess I've gotta let you do you. Looney all the way."" and that's it because I don't want to spoil the rest of the story. My favorite quote from the book is ""You got to see every adversity as part of the process. If you're passionate about something, pushing through adversity is how you become great."" Lebron James ""A warrior is not judged on her skills, but by her values."" Wonder Woman",3,28/11/2022 18:56,Space Jam a New Legacy,Books,OR,
Very good read,I found it to be very good read and humorous,4,10/06/2022 23:19,Iron Man,Books,OR,
Just the best series of books ever,"Please please someone make a movie of this Riveting can’t take my eyes off of the pages this book really comes to life. Thank you, Yolanda.",5,16/02/2023 22:38,The Private Haystack: Crossing Boundaries,Books,OR,
A fast paced mystery,I enjoyed the characters and the storyline.  The story moves along at a good pace. The female characters are strong and interesting.,5,01/10/2022 00:48,"The Silent Boy: A Sloane Monroe Spinoff Series (Sloane & Maddie, Peril Awaits Book 1)",Books,OR,
Pam,I don't remember getting this. But I'll give it a five star anyway.,5,19/04/2022 21:58,"Hey, I'm Alive!",Books,OR,
Marx was Brilliant,"No.... No he wasn't. Marx was consumed by his own ambition and obsession. This book is great because their diagnosis of capitalism's faults is accurate. The prescription, however, is wrong. Some might even say, DEADLY. Marx's idea of communism is an almost naive world view that disregards the inevitability of human nature.",4,12/04/2022 05:11,The Communist Manifesto,Books,OR,
Old favorite,Gift,5,14/07/2022 01:31,"Tile Lock Scrabble,2 to 4 players",Books,OR,
Engaging and addicting story,"(4.5) This is one of those stories that leaves you thinking everytime you set it down and for days after you finish it. It has so many twists and turns and things you just don’t see coming at all that when it’s all over you just need to sit back and really take it all in. Oh, and it makes you so mad at times too! Shelby Tebow is the very first woman to go missing. Soon after, Meredith Dicky and her six year old little girl, Delilah, disappear just a few blocks away from where Shelby was seen last. This brings about a fear to the peaceful little community like none known before. After a long search the cases go cold. Eleven years later Delilah returns! Everyone is curious and burning with desire to know what happened to her but as the days go by they all learn so much more than they ever knew possible. That’s all I’ll tell you but it’s a fantastic story that draws you in and keeps you on the edge of your seat just trying to figure out what has happened and where it’s all leading to. When you find out your jaw will drop! No matter if you love it, like it, or even hate it your jaw still drops! I definitely recommend this one.",4,17/08/2022 15:44,Local Woman Missing,Books,OR,
Book 2 down!!,These are great books and once you get started you must keep going.  Kaitlyn is one busy lady and you will have to wonder how she keeps going!!,5,24/11/2022 03:20,Girl Lost: An addictive mystery crime thriller (A Detective Kaitlyn Carr Mystery Book 2),Books,OR,
Spellbinding,"This is an amazing book.  The first three chapters give the background on three different people with different stories who board the Tamiami Champion passenger train in Charleston, SC, and head north.  Another highlighted character, Pecan Locklear, lives near Rennert, NC and witnesses the crash and is the first non passenger/crewmember on the scene to help.  The deadly crash of two trains that becomes North Carolina's deadliest ever during a late night bitter cold snowstorm is historical fact.  The skillful interweaving of fictional people within the disaster is the masterful imagination of the author.  If you start the book, I can promise you that it won't be put down for long before you pick it back up to continue.",5,26/01/2023 02:32,From the Fires Scattered There,Books,OR,
Page Turner,I did not expect so much of the plot of this book.  It was well-written and kept me turning each page to find out what was happening next.,5,09/04/2022 02:46,Unmissing: A Thriller,Books,OR,
Good but Sad,I love Lucinda's books. They don't disappoint.,4,24/07/2022 21:06,Appetite for Innocence: A Dark Psychological Thriller,Books,OR,
Great book.,Great book.,5,17/01/2023 00:14,Frankenstein,Books,OR,
Good,Good,4,01/10/2022 23:59,"Effective Communication: The Patterns of Easy Influence: Master business communication, professional communication, and influence, the psychology of persuasion. Achieve sales leadership and success.",Books,OR,
Love it!!,"My kids, ages 10-3, love this book! We have been reading it every night before bed. Love the variety of animals!",5,09/11/2022 01:31,The Song That Goes On and On and On and On,Books,OR,
Cute book,I bought this for my granddaughter. Love the Illustrations,5,07/09/2022 01:13,"Dinosaur, Dinosaur, Say Good Night",Books,OR,
Absolute trash,"This ""book"" reminds me of photocopied school books I used when growing up in Central America. All black and white, no real structure, the information in the book is just copy paste from who knows where... depressing ""guide book""",2,28/04/2022 23:41,Hades : LATEST GUIDE: Everything You Need To Know About Days Gone Game; A Detailed Guide,Books,OR,
Too much detail,I bought this for a quick look at nutrients but this is way too cumbersome to use so I don't..,1,04/06/2022 20:06,"The Complete Book of Food Counts, 9th Edition: The Book That Counts It All",Books,OR,
Easy to follow for Raw Diet with proper nutrition,This is the second time I have purchased this book.  Great guideline for home made raw food.  I am using for my dog with mammory cancer.,5,11/09/2022 15:44,Holistic Guide for a Healthy Dog,Books,OR,
Absolutely beautiful,The song In My Life by the Beatles has a lot of history with my special needs son. When I saw this book I got goosebumps. It's just perfect. The artwork is meaningful and ageless.,5,03/01/2023 22:28,In My Life,Books,OR,
Feel like a kid again,"I recently found this book in my sisters basement while cleaning out her house after her murder. I put it in my childhood box to keep, but left it back home in Chicago. I needed a copy here in LA since it was one of my favorites as a kid.",5,19/06/2022 08:22,The Monster at the End of This Book,Books,OR,
I was mentioned in the book!,Was very enjoyable!,5,10/10/2022 19:05,Oyster Harbors Caddy Camp,Books,OR,
granddaughter is obsessed!,This is the gift she stayed with throughout her small party. Just wanted to play with this and ignore other gifts or food!!,5,30/01/2023 04:40,Peppa Pig – Let’s Go Potty! Interactive 5-Button Potty Training Sound Book – PI Kids,Books,OR,
Make sure to check book condition!!!,"book was supposed to be in ""Very Good"" condition but arrived to me with many pages damaged and having many markings on them.",3,24/08/2022 18:08,Crossroads: The Multicultural Roots of America's Popular Music with Audio CD (2nd Edition),Books,OR,
Great quality,I love the idea of these.  I have given my husband and his dad one to do theres!  Quality is great,5,27/04/2022 03:04,Dad Tell Me Your Life Story: A guided journal filled with questions for fathers to answer for their children,Books,OR,
An excellently written historical retelling,"I've never read the original that inspired this book, so I went in blind and without expectations. I did have a vague knowledge that Dr. Moreau created monstrous creatures here they are hybrids. So they are still beings that outsiders would be frightened of but lead lives as humans at the hacienda. I enjoyed getting to know Carlota, Montgomery, and all the characters that lived at the hacienda. We meet her as a young woman in her early teens whose father, Dr. Moreau, has kept her sheltered there in their home but also educated her. She's helping prepare for the visit of Mr. Lizalde, the man who funds her father's research. He's there to see how things are coming along and to bring a  new majordomo. There is a time jump of six years and we meet Mr. Lizalde's son and nephew. They were told to not venture to the hacienda without the older man but do anyway. Montgomery does his best to send them away but Carlota intervenes. After they meet with her father, he encourages Carlota to spend time with Lizalde's son in the hopes of them starting a relationship. But also so he doesn't lose his funding. But they must keep them from seeing the hybrids. Because these visitors have no idea what really happens here.  But these aren't the only secrets the hacienda harbors and the doctor won't even answer the many questions Carlota has.",5,24/07/2022 21:40,The Daughter of Doctor Moreau,Books,OR,
Historical,This was an easy read. Interesting topic especially for those who love college football.,4,16/09/2022 03:17,"The Black Bruins: The Remarkable Lives of UCLA's Jackie Robinson, Woody Strode, Tom Bradley, Kenny Washington, and Ray Bartlett",Books,OR,
really good book,I enjoyed this book so much that I went looking for other books by the same author. I bought 3 additional books and look forward to reading them!!,5,23/01/2023 00:56,Inhuman Trafficking: A Legal Thriller,Books,OR,
Printing is too small for 50+ yr olds,"I would think mostly 50 yr olds and above still use paper guide books. This is too small to make it useful for us. It is 5.5"" x 8.5"" and should be 10.5 × 8.5 like other guide books. We are driving and don't need a small book.",2,12/06/2022 19:38,"Moon Michigan: Lakeside Getaways, Scenic Drives, Outdoor Recreation (Travel Guide)",Books,OR,
Can't go wrong with anything from Creative Haven.,"An adult colorist that's been coloring for a long time can add embellishments, shading or anything else they want to get that perfect picture they want to display. Less experienced colonists can color it more simply and be happy, or practice to gain experience. Children can color in it to learn to stay in the lines. The pages are one sided and perforated so you can easily remove them.",5,11/03/2023 21:05,Creative Haven Main Street Coloring Book (Adult Coloring Books: USA),Books,OR,
Not an actual book.,"Looks like this was printed in someone's basement. Weird format and has jpg numbers in strange places on the pages.  Very difficult to read, not an actual book format.",1,19/08/2022 15:18,The Innocents Abroad,Books,OR,https://m.media-amazon.com/images/I/71ZK8dlA4FL._SL1600_.jpg
Brilliant,"This book was amazing.  It should have come with a severe trigger warning, so if you are a fellow survivor, be warned there are graphic scenes of torture and assault.  That said, the heroine was tough, flawed, and well written.  The plot was plausible and gripping",4,13/07/2022 17:31,A Dark Lure,Books,OR,
Major Miss!,"In Wicked Prey, we saw 14 year old Letty as a budding psychopath who somehow fools and manipulates every adult in her life.  She lies and steals from those she claims to care about and dispassionately watches as others suffer.  The character at 14 was a ridiculous combination of Mary Sue and a young Hannibal Lecter.  After a privileged upbringing among doting, clueless adults, Letty is now an insufferable know it all with no conscience, no experience, and sociopath’s ego.  She’s bored with her job she got through daddy’s contacts, so her boss sends her off to fight corporate/government espionage.  Eye roll.",2,17/05/2022 15:52,The Investigator (A Letty Davenport Novel),Books,OR,
Very handy checklist,"I am the kind of person that likes to mark things off a list.  This checklist is very handy and also comprehensive.  There were things on there I didn't use, but also space to add in other items.  Well worth the money.",5,27/01/2023 22:35,House Cleaning Checklist: Daily & Weekly Household Cleaning & Caretaking Schedule Planner Organizer With Checkboxes | Cleaning Checklist for Business ... Keep Track of Your Everyday Chores & Routines,Books,OR,
Book,Supports the movie,5,14/08/2022 02:12,Mei's Wild Ride (Disney/Pixar Turning Red) (Step into Reading),Books,OR,
Scott Blade did it again.,Each book in the series has gotten better and better. I am now looking forward to the next one due out later this year.,5,21/02/2023 01:49,Kill Promise (Jack Widow Book 18),Books,OR,
Excellent,Excellent book,5,16/01/2023 03:10,"Teach Yourself to Read Music: Guide for Pop, Rock, Blues and Jazz Singers",Books,OR,
Poemario para la noche,Una exelente compra para leer  con calma de niche tarde para mi me encanto y se lo recomiendo a todos yo lo tengo en mi comoda y de noche leo uno o dos me encanta,5,29/09/2022 15:24,La alquimia en tiempos de quimera (Spanish Edition),Books,OR,
What to Get a New Mom or Dad,This is my go-to present for anyone with a new baby that you want to remember but not go overboard on a gift. Babies love this tactile presentation for their first introduction into reading.,5,11/12/2022 21:12,Pat the Bunny (Touch and Feel Book),Books,OR,
Would give more stars if I could,"Incredible writing. First rate mystery, but so much more. Finely drawn characters and landscape woven beautifully. The description of the guga hunt is fascinating, and I knew then this had earned more than five stars.",5,03/03/2023 00:45,The Blackhouse,Books,OR,
Great detail/index,"I had another book was a waste of time and money. This one is excellent. Awesome index to find exactly what you’re looking for, makes it a breeze.",5,01/09/2022 18:33,Mastering the Olympus OM-D E-M1 Mark III (The Mastering Camera Guide Series),Books,OR,
Daughter loves these,My teen daughter loves these books. Collects them all,5,15/12/2022 22:45,Prologue to Murder (A Beyond the Page Bookstore Mystery (2)),Books,OR,
Mixed -Media Adventures,Kristy Rice books are so inspirational and easy to learn new art mediums from.  Look forward to reading and enjoying this one too,5,27/01/2023 21:49,Mixed-Media Adventures with Kristy Rice: A Noncoloring Book,Books,OR,
"Amazing insight in a fast, easy read","I wish I had read this book years ago, I would've had much more successful startups :) The approach makes so much sense once you get it, but starting with your audience first and building while gathering feedback is SO much better than the classic product-first approach.",5,06/03/2023 20:03,The Embedded Entrepreneur: How to Build an Audience-Driven Business,Books,OR,
"Everything looks amazing, however..",First recipe I tried was banh cuon nhan thit lon. I posted the picture of my result and the second one is hers. I have a really good banh cuon recipe already but thought I give this a try. What a freakin’ disaster. I am so annoyed that I wasted my time. The “banh cuon” doesn’t even stick together. Also- cooking at high temperature makes it burn before it can even cook properly.  The batter is so thick that you can’t even swirl your pan and thin it out. And- it’s missing a bit of tapioca powder (this recipe has none). Also- the mushrooms and onions were way too much and the ground pork was not enough. I felt like I was only eating mushrooms and a bit of onion and no protein! FYI. I am Vietnamese and I cook Viet food all the time. I just love collecting cook books especially one made in my ethnic.,2,03/05/2022 02:52,Tasting Vietnam: Flavors and Memories from My Grandmother's Kitchen,Books,OR,https://m.media-amazon.com/images/I/61APW8o3dZL._SL1600_.jpg
Strong Women and Magic!,"It's not a good time to be a woman in a place where women's lives are controlled by the possibility of being accused of being a witch. It doesn't take much; a disgruntled husband, neighbor, or boss, a jealous co-worker and then the nightmare begins. Josephine is nearing 30, the age where unmarried women must register with the State and begin intrusive monitoring. She has been on the State's radar since her odd mother disappeared 14 years earlier and  assumed to be a witch. Her mother's will makes an unusual request, setting Josephine on a life changing journey. This is where things really get interesting. The Women Could Fly was an interesting 3* read  for me up until that glorious ending!  I am now a Megan Giddings fan.",4,04/09/2022 20:00,The Women Could Fly: A Novel,Books,OR,
Too wordy,He must get paid by the word!  Good story but like all of his book way to much unnecessary verbiage.,4,25/01/2023 17:26,The Outsider,Books,OR,
Bleh,"Overpriced, not well put together. Just like every other college textbook.",2,10/04/2022 18:00,"Modern China: Continuity and Change, 1644 to the Present",Books,OR,
Pros and cons,"Pros: Nice hard cover book. The artwork in the front cover is beautiful. The stories are in Old English so you feel like you went back in time. Cons: The pages are extremely fragile, they stick together so if you pull too hard you might rip the page. Be extremely careful. Can be a bit hard to understand. I wouldn't consider it to be kid friendly.",4,16/08/2022 21:32,The Complete Grimms' Fairy Tales (Deluxe Hardbound Edition),Books,OR,
Not what I expected,"Completely in love with Venice where I went 10 times or more and about which I have all the memoirs written, I was expecting lots of stories about Donna Leon’s everyday life in Venice. Just a few pages. The majority of the book contains essays about music, her family, traveling, and are quite old. The book is not recent. I already gave it away to the library. Not for my shelves!",1,14/04/2022 00:02,My Venice and Other Essays,Books,OR,
Granny D: Walking Across America in My Ninetieth Year,"I can honestly say I'd never heard of Granny D.  Which is surprising, considering the amount of news coverage around her.  I think it was just due to timing; I was not yet old enough to vote when she did her walk, and so wasn't really politically minded. This is not to say this is a political book entirely.  It's a big portion of that, given that her reasoning for going on her trek across America was to raise awareness around campaign finance reform.  But it's also just about the people who helped her along the way, some of her past history (this wasn't her first foray into activism), and finally just the toll of the walk itself. Haddock, or Granny D as she went by during her walk, is an interesting character.  And that reflects through her narration.  She'd have to be, to decide to walk across America at almost age 90.  She's not shy in what she says, I'm guessing when you get to be that age it's probably part of the loss of filter and time.  But she's also exceedingly generous to most she describes; she sees the world as a beautiful place and can usually say at least one positive thing about everyone she is around.  Which I admire. Definitely an interesting book about an interesting lady.  To only hope to be that engaged at her age. Review by M. Reynard 2022",4,08/12/2022 03:13,Granny D: Walking Across America in My Ninetieth Year,Books,OR,
Really Nice!!!,"It' Beautiful !!! And, Really Great! Love it!!",5,25/09/2022 03:39,Easy To Fold: Arkansas,Books,OR,
Easy Read,This was my first Finley O’Sullivan book. I like her character. She fell from grace and picked herself up to start anew. Other major characters were well developed as well. The storyline was full of twists. It was difficult to guess outcome. I like that in a mystery.,5,11/08/2022 02:08,The Last Lie Told (Finley O’Sullivan Book 1),Books,OR,
